atm_inventario_año;atm_inventario_grupo_cont;atm_inventario_sector;atm_inventario_sector_descripcion;atm_inventario_cont_desc;atm_inventario_cont_unidades;atm_inventario_cont_cantidad
2021;Metales pesados;11;Otras fuentes y sumideros (naturaleza);Cr;kg;0
2021;Metales pesados;1;Combustión en la producción y transformación de energía;Cu;kg;0,59
2021;Metales pesados;2;Plantas de combustión no industrial;Cu;kg;70,56
2021;Metales pesados;3;Plantas de combustión industrial;Cu;kg;50,68
2021;Metales pesados;4;Procesos industriales sin combustión;Cu;kg;6,26
2021;Metales pesados;5;Extracción y distribución de combustibles fósiles y energía geotérmica;Cu;kg;0
2021;Metales pesados;6;Uso de disolventes y otros productos;Cu;kg;45,05
2021;Metales pesados;7;Transporte por carretera;Cu;kg;13932,45
2021;Metales pesados;8;Otros modos de transporte y maquinaria móvil;Cu;kg;105,61
2021;Metales pesados;9;Tratamiento y eliminación de residuos;Cu;kg;27,24
2021;Metales pesados;10;Agricultura;Cu;kg;0
2021;Metales pesados;11;Otras fuentes y sumideros (naturaleza);Cu;kg;0
2021;Metales pesados;1;Combustión en la producción y transformación de energía;Hg;kg;0,22
2021;Metales pesados;2;Plantas de combustión no industrial;Hg;kg;14,59
2021;Metales pesados;3;Plantas de combustión industrial;Hg;kg;25,19
2021;Metales pesados;4;Procesos industriales sin combustión;Hg;kg;23,78
2021;Metales pesados;5;Extracción y distribución de combustibles fósiles y energía geotérmica;Hg;kg;0
2021;Metales pesados;6;Uso de disolventes y otros productos;Hg;kg;15,64
2021;Metales pesados;7;Transporte por carretera;Hg;kg;20,84
2021;Metales pesados;8;Otros modos de transporte y maquinaria móvil;Hg;kg;2,79
2021;Metales pesados;9;Tratamiento y eliminación de residuos;Hg;kg;45,67
2021;Metales pesados;10;Agricultura;Hg;kg;0
2021;Metales pesados;11;Otras fuentes y sumideros (naturaleza);Hg;kg;0
2021;Metales pesados;1;Combustión en la producción y transformación de energía;Ni;kg;0,21
2021;Metales pesados;2;Plantas de combustión no industrial;Ni;kg;2912,94
2021;Metales pesados;3;Plantas de combustión industrial;Ni;kg;198,72
2021;Metales pesados;4;Procesos industriales sin combustión;Ni;kg;128,3
2021;Metales pesados;5;Extracción y distribución de combustibles fósiles y energía geotérmica;Ni;kg;0
2021;Metales pesados;6;Uso de disolventes y otros productos;Ni;kg;22,48
2021;Metales pesados;7;Transporte por carretera;Ni;kg;290,81
2021;Metales pesados;8;Otros modos de transporte y maquinaria móvil;Ni;kg;3,98
2021;Metales pesados;9;Tratamiento y eliminación de residuos;Ni;kg;6,41
2021;Metales pesados;10;Agricultura;Ni;kg;0
2021;Metales pesados;11;Otras fuentes y sumideros (naturaleza);Ni;kg;0
2021;Metales pesados;1;Combustión en la producción y transformación de energía;Pb;kg;2,63
2021;Metales pesados;2;Plantas de combustión no industrial;Pb;kg;301,12
2021;Metales pesados;3;Plantas de combustión industrial;Pb;kg;190,13
2021;Metales pesados;4;Procesos industriales sin combustión;Pb;kg;469,38
2021;Metales pesados;5;Extracción y distribución de combustibles fósiles y energía geotérmica;Pb;kg;0
2021;Metales pesados;6;Uso de disolventes y otros productos;Pb;kg;0,17
2021;Metales pesados;7;Transporte por carretera;Pb;kg;5456,99
2021;Metales pesados;8;Otros modos de transporte y maquinaria móvil;Pb;kg;296,36
2021;Metales pesados;9;Tratamiento y eliminación de residuos;Pb;kg;44,95
2021;Metales pesados;10;Agricultura;Pb;kg;0
2021;Metales pesados;11;Otras fuentes y sumideros (naturaleza);Pb;kg;0
2021;Metales pesados;1;Combustión en la producción y transformación de energía;Se;kg;0,11
2021;Metales pesados;2;Plantas de combustión no industrial;Se;kg;4,34
2021;Metales pesados;3;Plantas de combustión industrial;Se;kg;20,36
2021;Metales pesados;4;Procesos industriales sin combustión;Se;kg;0
2021;Metales pesados;5;Extracción y distribución de combustibles fósiles y energía geotérmica;Se;kg;0
2021;Metales pesados;6;Uso de disolventes y otros productos;Se;kg;0
2021;Metales pesados;7;Transporte por carretera;Se;kg;41,7
2021;Metales pesados;8;Otros modos de transporte y maquinaria móvil;Se;kg;0,67
2021;Metales pesados;9;Tratamiento y eliminación de residuos;Se;kg;5,68
2021;Metales pesados;10;Agricultura;Se;kg;0
2021;Metales pesados;11;Otras fuentes y sumideros (naturaleza);Se;kg;0
2021;Metales pesados;1;Combustión en la producción y transformación de energía;Zn;kg;50,47
2021;Metales pesados;2;Plantas de combustión no industrial;Zn;kg;1014
2021;Metales pesados;3;Plantas de combustión industrial;Zn;kg;2389,96
2021;Metales pesados;4;Procesos industriales sin combustión;Zn;kg;719,72
2021;Metales pesados;5;Extracción y distribución de combustibles fósiles y energía geotérmica;Zn;kg;0
2021;Metales pesados;6;Uso de disolventes y otros productos;Zn;kg;22,53
2021;Metales pesados;7;Transporte por carretera;Zn;kg;6867,39
2021;Metales pesados;8;Otros modos de transporte y maquinaria móvil;Zn;kg;79,46
2021;Metales pesados;9;Tratamiento y eliminación de residuos;Zn;kg;834,18
2021;Metales pesados;10;Agricultura;Zn;kg;0
2021;Metales pesados;11;Otras fuentes y sumideros (naturaleza);Zn;kg;0
2021;Partículas;1;Combustión en la producción y transformación de energía;PM2,5;t;56,99
2021;Partículas;2;Plantas de combustión no industrial;PM2,5;t;899,64
2021;Partículas;3;Plantas de combustión industrial;PM2,5;t;689,18
2021;Partículas;4;Procesos industriales sin combustión;PM2,5;t;154,43
2021;Partículas;5;Extracción y distribución de combustibles fósiles y energía geotérmica;PM2,5;t;0
2021;Partículas;6;Uso de disolventes y otros productos;PM2,5;t;236,1
2021;Partículas;7;Transporte por carretera;PM2,5;t;1444,52
2021;Partículas;8;Otros modos de transporte y maquinaria móvil;PM2,5;t;244,49
2021;Partículas;9;Tratamiento y eliminación de residuos;PM2,5;t;400,13
2021;Partículas;10;Agricultura;PM2,5;t;38,16
2021;Partículas;11;Otras fuentes y sumideros (naturaleza);PM2,5;t;150,61
2021;Partículas;1;Combustión en la producción y transformación de energía;PM10;t;58,45
2021;Partículas;2;Plantas de combustión no industrial;PM10;t;1064,65
2021;Partículas;3;Plantas de combustión industrial;PM10;t;712,57
2021;Partículas;4;Procesos industriales sin combustión;PM10;t;1426,53
2021;Partículas;5;Extracción y distribución de combustibles fósiles y energía geotérmica;PM10;t;0
2021;Partículas;6;Uso de disolventes y otros productos;PM10;t;246,56
